,Protein name,EC#,Uniprot,name
302, endoglucanase 1 (Eg1; EG1),3.2.1.4, ,GH12
303," endo-β-1,4-glucanase 3 / III (Egl3;EG3;EGIII;ThEG3;ThEGIII) (Cel12A)",3.2.1.4,I3RY46,GH12
304, endoglucanase (Cel12A),3.2.1.4,Q8NJY5,GH12
305," endo-β-1,4-glucanase III (Egl3;EGIII;EG III;EG3;TrCel12A) (Cel12A)",3.2.1.4,O00095,GH12
306, endoglucanase (Cel12A),3.2.1.4,Q8NJY4,GH12
307, endoglucanase J (CelJ) (Cel9D-Cel44A),3.2.1.4,"A3DD30
P71140",GH44
308, bifunctional mannanase / endoglucanase (CbMan5A/Cel44A;Athe_1859;Cbes_1859;ORF1946) (Man5A-Cel44A),3.2.1.4,B9MKT9,GH44
309," bifunctional β-mannanase / endo-β-1,4-glucanase (ManA)",3.2.1.4,P22533,GH44
310," endo-β-1,4-glucanase A (CelA)",3.2.1.4,P29719,GH44
311, cellulase (EndB),3.2.1.4,Q934F9,GH44
312, cellulase (Lc-CelH),3.2.1.4,W8PBJ3,GH44
313, endoglucanase (MgCel44) (Cel44),3.2.1.4,U5YC86,GH44
314," endo-β-1,4-glucanase B / 45A (CelB;EGB;CJA_0374) (Cel45A)",3.2.1.4,"B3PI35
P18126",GH45
315," endo-β-1,4-glucanase (F45;Fisuc_1933;FSU_2443)",3.2.1.4,C9RIQ2,GH45
316, endoglucanase B (GnuB),3.2.1.4,Q6XR86,GH45
317, cellulase (Eng-2;ArENG2),3.2.1.4,A0A0E3Z7U1,GH45
318," endo-β-1,4-glucanase (EG27I)",3.2.1.4,A7KME9,GH45
319," endo-β-1,4-glucanase (EG27II)",3.2.1.4,A7KMF0,GH45
320, cellulase 45A (AmCel-45A),3.2.1.4,K4GMG5,GH45
321," endo-β-1,4-glucanase (GABY01019707.1)",3.2.1.4, ,GH45
322, cellulase 21K (AkEG21;AkEG22),3.2.1.4,A0A077JGH0,GH45
323, cellulase I (Ag-EGaseI),3.2.1.4,"Q5XQD1
Q8I815",GH45
324, endoglucanase II (Ag-EGaseII),3.2.1.4,Q6SS52,GH45
325, glycoside hydrolase family 45 (Gh45-1),3.2.1.4,X2D5K6,GH45
326, glycoside hydrolase family 45 (Gh45-2),3.2.1.4,X2D6C4,GH45
327, cellulase I (Bh-EGaseI),3.2.1.4,A0A0F7NSK2,GH45
328, endoglucanase (Eng2;Bx-eng-2),3.2.1.4,Q6BCL7,GH45
329, endoglucanase (Eng3;Bx-Eng-3),3.2.1.4,Q6BCL3,GH45
330, endoglucanase (Eng1;Bx-Eng-1),3.2.1.4,"K4F7Y8
K4FA32
Q6BCM1
Q6BCN0",GH45
331, endoglucanase (EG5;EG V) (Cel45A),3.2.1.4, ,GH45
332," endo-β-1,4-glucanase (CjCel45A) (Cel45A)",3.2.1.4,B9X0W0,GH45
333," endo-β-1,4-glucanase",3.2.1.4, ,GH45
334," endo-β-1,4-glucanase (Cel;CaCel)",3.2.1.4,D3GDK4,GH45
335," endo-β-1,4-glucanase (DVI2)",3.2.1.4,A0A4D6Q326,GH45
336," endo-β-1,4-glucanase (DVI1;DvvENGaseI)",3.2.1.4,I1VZE8,GH45
337, endoglucanase (FpCel45A) (Cel45A),3.2.1.4, ,GH45
338," endo-β-1,4-glucanase (Gh45-2)",3.2.1.4, ,GH45
339," endo-β-1,4-glucanase (GLOTRDRAFT_59933)",3.2.1.4, ,GH45
340," endo-β-1,4-glucanase (Egl3)",3.2.1.4,"O93782
P43316",GH45
341," endo-β-1,4-glucanase IV (Egl4;EGIV)",3.2.1.4,O93783,GH45
342," endo-β-1,4-glucanase V (EGV;EG V;NCE5) (Cel45A)",3.2.1.4,P43316,GH45
343," endo-β-1,4-glucanase (PAS_chr4_0643) (Cel45A)",3.2.1.4,C4R8H7,GH45
344," endo-β-1,4-glucanase (DIV10)",3.2.1.4,A0A4D6Q7T7,GH45
345," endo-β-1,4-glucanase (LDE6)",3.2.1.4,E7CIY8,GH45
346," endo-β-1,4-glucanase (Cel45A)",3.2.1.4, ,GH45
347, endoglucanase (Fm1;HG 67-5),3.2.1.4,Q7YZU0,GH45
348, endoglucanase (Fm3),3.2.1.4,Q7YZT8,GH45
349, endoglucanase (Fm4),3.2.1.4,Q7YZT7,GH45
350, endoglucanase (Fm2),3.2.1.4,Q7YZT9,GH45
351," endo-β-1,4-glucanase (MaCel45A) (Cel45A)",3.2.1.4,Q8J0K8,GH45
352," endo-β-1,4-glucanase (Mce1)",3.2.1.4,Q53VB3,GH45
353," endo-β-1,4-glucanase (Mce2)",3.2.1.4,Q53VB2,GH45
354, endoglucanase (Eg),3.2.1.4,"P82186
Q95P02",GH45
355, endoglucanase (NcCel45A;NCU05121.1) (Cel45A),3.2.1.4,"Q1K5M0
Q872Q1",GH45
356, endoglucanase V / 45A (EG V;PdCel45A) (Cel45A),3.2.1.4,B5AKD1,GH45
357," endo-β-1,4-glucanase (EG)",3.2.1.4,O97401,GH45
358," endo-β-1,4-glucanase (PCO1)",3.2.1.4,K4QDH6,GH45
359, cellulase (Ghf45eg-1) (fragment),3.2.1.4,T1WGL7,GH45
360, cellulase (Ghf45eg-2),3.2.1.4,T1WFT4,GH45
361, endoglucanase V (EGV;PcCel45A) (Cel45A),3.2.1.4,"B3Y002
G0ZPJ6",GH45
362," endo-β-1,4-glucanase (Pce1)",3.2.1.4,Q5R230,GH45
363, endoglucanase 45A (Cel45A),3.2.1.4,Q9P868,GH45
364, endoglucanase (RsSym45eg1;RsSymEG2;SM2038B84),3.2.1.4,"A4UWR4
Q9JH92",GH45
365, RrCel45,3.2.1.4,A0A2U8LMQ2,GH45
366," endo-β-1,4-glucanase (Rce1;RCE I)",3.2.1.4,Q8J1L2,GH45
367," endo-β-1,4-glucanase (Rce2; RCE II)",3.2.1.4,Q8J1L1,GH45
368," endo-β-1,4-glucanase (Rce3; RCE III)",3.2.1.4,Q8J1L0,GH45
369," endo-β-1,4-glucanase (EG2)",3.2.1.4, ,GH45
370, sscle_01g005720,3.2.1.4,A0A1D9PTE7,GH45
371, endoglucanase I (EgI),3.2.1.4,Q7M4T4,GH45
372," endo-β-1,4-glucanase (SOR1)",3.2.1.4,E7CIN4,GH45
373," endo-β-1,4-glucanase(SOR2)",3.2.1.4,E7CIN5,GH45
374," endo-β-1,4-glucanase (Stce1)",3.2.1.4,B5BNY1,GH45
375, endoglucanase (CBH I),3.2.1.4,A7UGD9,GH45
376," endo-?-1,4-glucanase (Cbh45-1)",3.2.1.4, ,GH45
377," endo-β-1,4-glucanase (MYCTH_76901)",3.2.1.4, ,GH45
378," endo-β-1,4-glucanase (THITE_2110957)",3.2.1.4,G2QVH7,GH45
379, β-1_4-endoglucanase (Cel45),3.2.1.4, ,GH45
380, endoglucanase V (EGV) (Cel45A),3.2.1.4,P43317,GH45
381, endoglucanase V (EGV),3.2.1.4,Q7Z7X0,GH45
382, NT0285A89,3.2.1.4,A4UWU6,GH45
383, SM2765A61,3.2.1.4,A4UX40,GH45
384, SM2760A28,3.2.1.4,A4UX33,GH45
385, SM2030A92,3.2.1.4,A4UWR3,GH45
386, SM2042A70,3.2.1.4,A4UWR5,GH45
387," endo-1,4-glucanase 1 (Egl1)",3.2.1.4,P54424,GH45
388,"  endo-β-1,4-glucanase (Clocl_4007)",3.2.1.4,G8M3C3,GH48
389," endo-β-1,4-glucanase Y (CelY;Cthe_0071) (Cel48B=Cel48Y)",3.2.1.4,A3DBI3,GH48
390, cellulase (BLi01881 / BL01231;CelB),3.2.1.4, ,GH48
391, cellulase (HCH_02465),3.2.1.4,Q2SJA2,GH48
392," β-1,4-glucanase (CelA4) (acidic)",3.2.1.4,D7PI32,GH51
393, endoglucanase (CelVA),3.2.1.4,A0A0F7TAS1,GH51
394, endoglucanase 2 / F (Eg2;CelF;EgF;CBP-4;Fisuc_3111;FSU_0382) (Cel51A),3.2.1.4,"C9RQE4
P71329
P77865",GH51
395," endo-β-1,4-glucanase (SScel24;Lambda;Cel)",3.2.1.4,Q5NJL7,GH51
396, cellulase (Lc-CelC),3.2.1.4,W8PBI6,GH51
397," endo-β-1,4-glucanase (TM0305) (Cel74)",3.2.1.4,"Q9WYE1
R4NXV8",GH74
398," endo-β-1,4-glucanase (CtCel124;Cthe_0435) (Cel124A)",3.2.1.4,A3DCJ4,GH124
399," endo-β-1,4-glucanase active on Konjac glucomannan (L483_17815)",3.2.1.4,R9V682,GH148
400," endo-β-1,4-glucanase active on Konjac glucomannan (TERTU_3477)",3.2.1.4,C5BRA3,GH148
